district,area_name,land_area_sqm,land_type,street_width_m,main_road_access,near_services,zoning_category,zoning_score,development_level,corner_plot,shape_regular,slope_level,lat,lng,asking_price_jod,price_per_sqm_jod,estimated_market_value_jod,fairness_label
Marka,Marka South,1091.67,residential,8.0,0,0,D,5,medium,1,0,flat,31.992296,35.96009,96057.81,117.46,128226.05,Underpriced
Al Jubeiha,Jubeiha University Side,840.49,residential,12.0,0,1,D,5,prime,0,1,steep,32.030641,35.86417,216262.11,293.54,246714.45,Underpriced
Abdoun,North Abdoun,264.37,commercial,8.0,1,0,commercial_general,10,prime,1,1,flat,31.949447,35.881487,710658.35,2530.0,668868.13,Fair Price
Al Jubeiha,Jubeiha North,842.09,commercial,12.0,1,1,commercial_local,8,low,0,1,flat,32.027164,35.87271,721745.99,878.94,740148.59,Fair Price
Khalda,Khalda Circle,272.57,commercial,14.0,0,1,commercial_general,10,high,1,1,moderate,32.020641,35.846199,310301.96,1082.52,295065.99,Fair Price
Khalda,Khalda North,954.16,residential,14.0,0,0,A,9,prime,0,0,flat,32.018246,35.848731,559791.92,541.12,516313.01,Fair Price
Jabal Amman,1st Circle,704.75,residential,14.0,0,1,A,9,prime,0,1,moderate,31.947343,35.910076,1010415.57,1485.0,1046553.55,Fair Price
Um Uthaina,Um Uthaina South,642.88,residential,10.0,0,1,D,5,prime,0,1,moderate,31.968185,35.875727,662992.76,1084.36,697113.41,Fair Price
Khalda,Khalda Circle,450.04,residential,12.0,0,1,A,9,prime,0,1,moderate,32.015991,35.85049,215665.02,445.9,200669.02,Fair Price
Sweileh,Sweileh Center,1010.28,agricultural,20.0,1,1,agricultural,3,high,0,1,steep,32.020691,35.847133,173379.87,156.74,158353.02,Fair Price
Marj Al Hamam,Marj Center,531.34,residential,12.0,0,0,C,6,medium,0,0,flat,31.882856,35.803433,76389.08,164.07,87178.91,Underpriced
Um Uthaina,Um Uthaina South,1003.67,residential,24.0,0,1,A,9,prime,0,1,moderate,31.968681,35.89018,1339004.17,1320.0,1324850.66,Fair Price
Sahab,Sahab Industrial Edge,855.88,residential,12.0,0,1,C,6,medium,0,1,moderate,31.859991,36.004174,139458.62,159.37,136406.01,Fair Price
Khalda,Khalda Circle,869.94,residential,20.0,0,0,C,6,high,0,1,moderate,32.028354,35.855814,399307.08,470.75,409521.57,Fair Price
Khalda,Khalda North,1296.91,commercial,6.0,1,1,commercial_local,8,medium,0,0,steep,32.036009,35.850293,532092.27,422.28,547661.58,Fair Price
Dabouq,Dabouq Villas,250.0,residential,14.0,0,0,B,8,high,0,1,flat,31.99625,35.82813,223283.49,810.9,202723.96,Overpriced
Sahab,Sahab Industrial Edge,289.84,residential,10.0,0,1,D,5,low,0,0,moderate,31.872808,36.003046,37191.07,125.6,36404.52,Fair Price
Khalda,Khalda North,2161.63,agricultural,10.0,1,1,agricultural,3,high,0,1,flat,32.022721,35.846219,257692.56,120.75,261027.2,Fair Price
Um Uthaina,Um Uthaina North,250.0,residential,16.0,0,1,A,9,medium,1,0,moderate,31.968937,35.867506,315743.21,1262.51,315626.36,Fair Price
Abdoun,North Abdoun,777.27,residential,20.0,0,1,D,5,prime,0,1,flat,31.947831,35.879018,1305441.44,1540.0,1196999.59,Fair Price
Tla Al Ali,Tla Al Ali East,701.17,commercial,14.0,1,1,commercial_general,10,high,1,1,flat,32.004002,35.862859,711638.17,1035.0,725713.23,Fair Price
Tabarbour,Inner Neighborhood,890.31,residential,20.0,1,0,B,8,medium,1,1,flat,31.99575,35.930197,345554.3,333.25,296694.54,Overpriced
Naour,Naour West,730.38,residential,14.0,0,1,A,9,low,0,1,flat,31.863978,35.761897,120087.59,177.91,129941.63,Fair Price
Sahab,Sahab Industrial Edge,622.34,residential,10.0,1,0,B,8,low,0,1,steep,31.868799,35.997395,68032.71,95.59,59488.3,Overpriced
Tabarbour,Inner Neighborhood,2363.18,agricultural,20.0,0,1,agricultural,3,prime,0,1,flat,31.994361,35.923786,340202.52,130.16,307591.53,Overpriced
Tabarbour,Inner Neighborhood,695.71,commercial,16.0,0,1,commercial_local,8,high,0,0,flat,31.996451,35.931753,514190.77,644.63,448477.35,Overpriced
Jabal Amman,4th Circle,1153.75,residential,16.0,1,1,C,6,high,1,1,flat,31.951024,35.911737,1047243.68,956.64,1103722.23,Fair Price
Marj Al Hamam,Marj Hills,535.89,residential,16.0,0,1,C,6,low,0,1,moderate,31.885704,35.794692,104481.84,207.84,111379.85,Fair Price
Naour,Naour Center,761.89,residential,16.0,0,1,B,8,high,0,1,flat,31.868302,35.760792,105552.36,151.66,115552.54,Fair Price
Naour,Naour West,1530.5,agricultural,16.0,0,0,agricultural,3,medium,1,0,flat,31.872541,35.761465,101524.82,70.06,107234.18,Fair Price
Khalda,Khalda Circle,849.5,residential,6.0,0,1,B,8,high,0,0,flat,32.019225,35.841665,307334.1,456.83,388076.79,Underpriced
Jabal Amman,1st Circle,1408.65,agricultural,16.0,0,0,agricultural,3,medium,0,1,flat,31.956398,35.914638,173658.49,114.17,160821.85,Fair Price
Khalda,Khalda Circle,628.73,residential,16.0,0,1,B,8,high,1,0,flat,32.029369,35.845698,437573.66,616.01,387308.37,Overpriced
Shmeisani,Central Shmeisani,809.91,residential,20.0,0,0,B,8,medium,0,0,moderate,31.958246,35.890807,398589.5,430.11,348349.88,Overpriced
Abdoun,North Abdoun,642.41,residential,16.0,0,0,B,8,prime,1,1,moderate,31.941754,35.882895,1068969.62,1465.07,941174.8,Overpriced
Marka,Marka North,2618.19,agricultural,6.0,0,1,agricultural,3,high,1,0,flat,31.987447,35.948238,313140.46,97.14,254339.59,Overpriced
Jabal Amman,1st Circle,837.39,residential,20.0,0,0,D,5,prime,1,1,steep,31.957027,35.916114,1042482.27,1258.85,1054148.73,Fair Price
Jabal Amman,4th Circle,901.7,commercial,12.0,1,0,commercial_general,10,high,0,1,flat,31.938935,35.917674,2209037.62,2300.0,2073916.28,Fair Price
Jabal Amman,1st Circle,828.19,commercial,14.0,1,1,commercial_local,8,prime,0,1,flat,31.950853,35.916999,1152079.52,1525.68,1263546.02,Fair Price
Deir Ghbar,Deir Ghbar Heights,730.09,residential,10.0,1,1,C,6,prime,0,0,moderate,31.931408,35.845419,669552.5,896.69,654659.56,Fair Price
Naour,Naour West,347.56,residential,16.0,0,0,B,8,high,0,1,moderate,31.876399,35.763741,39263.69,114.82,39906.49,Fair Price
Tabarbour,Inner Neighborhood,782.02,residential,12.0,1,1,C,6,low,0,1,flat,31.98878,35.925404,201630.54,280.23,219144.74,Fair Price
Al Jubeiha,Jubeiha North,3851.05,agricultural,10.0,0,0,agricultural,3,medium,0,1,moderate,32.030898,35.870045,467377.78,91.99,354256.08,Overpriced
Jabal Amman,4th Circle,385.65,residential,12.0,1,0,D,5,high,0,0,moderate,31.954704,35.92191,470486.72,1143.69,441065.98,Fair Price
Tabarbour,Inner Neighborhood,1159.1,residential,12.0,0,1,A,9,medium,1,0,moderate,31.995898,35.931265,322816.27,293.16,339798.72,Fair Price
Deir Ghbar,Deir Ghbar South,905.0,residential,14.0,0,1,D,5,high,1,1,flat,31.937682,35.846389,569714.27,701.44,634806.88,Underpriced
Tla Al Ali,Tla Al Ali East,2983.14,agricultural,12.0,0,0,agricultural,3,high,0,1,flat,32.018984,35.8686,332017.91,117.41,350241.02,Fair Price
Dabouq,Dabouq Villas,908.49,residential,20.0,0,1,B,8,prime,0,1,flat,31.994075,35.835573,1177449.72,1320.0,1199203.37,Fair Price
Um Uthaina,Um Uthaina South,2497.78,agricultural,12.0,1,0,agricultural,3,high,0,1,moderate,31.960645,35.869501,611109.08,268.39,670373.26,Fair Price
Sweileh,Sweileh North,386.34,commercial,20.0,1,1,commercial_general,10,high,0,1,flat,32.026229,35.856412,355933.46,897.0,346543.8,Fair Price
Abdoun,North Abdoun,1098.88,commercial,12.0,1,1,commercial_general,10,high,0,1,flat,31.948636,35.870493,2853203.55,2530.0,2780166.58,Fair Price
Marj Al Hamam,Marj Center,542.74,commercial,12.0,0,1,commercial_local,8,medium,1,1,flat,31.886521,35.796275,177690.04,338.18,183546.05,Fair Price
Sweileh,Sweileh Center,642.41,residential,14.0,0,1,C,6,medium,1,1,flat,32.029152,35.860463,226455.45,302.01,194016.15,Overpriced
Naour,Naour West,575.38,residential,6.0,0,1,C,6,medium,0,1,flat,31.868591,35.75907,108104.34,199.37,114712.05,Fair Price
Shmeisani,Central Shmeisani,411.0,residential,12.0,0,1,B,8,high,0,1,moderate,31.974159,35.889913,221211.39,579.93,238353.41,Fair Price
Deir Ghbar,Deir Ghbar Heights,1078.89,residential,12.0,1,1,C,6,high,0,0,flat,31.934406,35.852052,1007722.13,774.94,836074.55,Overpriced
Jabal Amman,4th Circle,3157.6,agricultural,16.0,0,0,agricultural,3,high,0,1,flat,31.960823,35.926686,476122.52,148.36,468472.85,Fair Price
Deir Ghbar,Deir Ghbar Heights,1143.01,residential,10.0,0,0,C,6,medium,0,0,flat,31.929584,35.855775,670431.94,695.2,794612.79,Underpriced
Al Jubeiha,Jubeiha University Side,690.36,commercial,14.0,1,1,commercial_local,8,medium,0,0,moderate,32.02601,35.869421,439935.54,595.5,411106.37,Fair Price
Um Uthaina,Um Uthaina South,716.12,residential,8.0,0,1,B,8,medium,1,1,steep,31.961091,35.87183,572299.19,806.68,577677.95,Fair Price
Tla Al Ali,Tla Al Ali West,861.39,residential,6.0,1,1,C,6,medium,0,1,steep,32.007199,35.864653,298435.26,514.89,443522.35,Underpriced
Tabarbour,Inner Neighborhood,2140.71,agricultural,16.0,1,0,agricultural,3,medium,0,1,flat,31.992982,35.935785,175602.94,81.71,174926.83,Fair Price
Abdoun,South Abdoun,638.77,residential,20.0,0,0,C,6,high,0,1,steep,31.94433,35.884962,559351.47,979.01,625361.44,Underpriced
Tla Al Ali,Tla Al Ali West,845.85,residential,10.0,0,1,C,6,prime,0,1,moderate,32.010385,35.861127,373689.56,389.91,329805.41,Overpriced
Tla Al Ali,Tla Al Ali West,1511.92,agricultural,6.0,0,1,agricultural,3,high,1,0,flat,32.011442,35.857922,168911.41,116.96,176831.78,Fair Price
Deir Ghbar,Deir Ghbar South,598.23,residential,10.0,0,1,C,6,high,0,1,moderate,31.92564,35.846668,488066.21,707.05,422974.67,Overpriced
Naour,Naour Center,704.33,residential,10.0,0,0,B,8,high,1,0,flat,31.867638,35.76229,142079.09,167.58,118033.96,Overpriced
Marj Al Hamam,Marj Hills,831.88,commercial,20.0,1,1,commercial_local,8,medium,0,0,steep,31.885048,35.793065,344139.91,489.36,407085.44,Underpriced
Al Jubeiha,Jubeiha University Side,1171.73,commercial,8.0,1,1,commercial_local,8,prime,1,1,flat,32.031769,35.869366,1164162.14,897.0,1051039.22,Overpriced
Um Uthaina,Um Uthaina North,627.86,residential,12.0,1,1,C,6,medium,0,1,moderate,31.966307,35.876457,577623.15,1051.16,659975.58,Underpriced
Abdoun,North Abdoun,1175.13,residential,16.0,1,1,B,8,prime,0,1,flat,31.943365,35.882422,1544630.09,1499.24,1761801.3,Underpriced
Tabarbour,Tabarbour Main,3950.33,agricultural,12.0,0,0,agricultural,3,medium,0,1,moderate,31.996642,35.934534,367332.63,91.28,360570.03,Fair Price
Shmeisani,West Shmeisani,1545.94,agricultural,8.0,1,1,agricultural,3,medium,0,1,steep,31.959366,35.877284,284210.05,159.16,246045.6,Overpriced
Deir Ghbar,Deir Ghbar South,528.69,residential,12.0,0,1,B,8,high,0,1,flat,31.933081,35.845172,527213.4,990.0,523402.91,Fair Price
Tla Al Ali,Tla Al Ali East,749.19,residential,16.0,0,1,B,8,high,0,1,steep,32.01487,35.862601,294888.83,399.8,299527.73,Fair Price
Shmeisani,West Shmeisani,2562.01,agricultural,16.0,0,0,agricultural,3,prime,0,1,moderate,31.966466,35.884678,384643.43,159.24,407969.08,Fair Price
Marka,Marka North,525.36,residential,16.0,0,1,D,5,prime,0,0,flat,31.993279,35.93939,77652.75,189.15,99371.95,Underpriced
Jabal Amman,4th Circle,1142.38,residential,14.0,0,1,B,8,high,0,0,flat,31.954188,35.918216,1641192.62,1288.26,1471676.59,Overpriced
Marka,Marka North,1049.45,commercial,8.0,1,1,commercial_general,10,high,0,0,moderate,31.997893,35.947159,377747.03,315.77,331387.69,Overpriced
Tla Al Ali,Tla Al Ali West,877.35,residential,16.0,0,1,B,8,prime,0,0,moderate,32.009161,35.865537,504336.89,477.39,418839.2,Overpriced
Marka,Marka North,571.76,residential,12.0,0,0,C,6,prime,0,1,steep,31.992598,35.935461,89138.03,141.49,80897.39,Overpriced
Um Uthaina,Um Uthaina North,876.37,residential,12.0,1,0,D,5,prime,0,0,moderate,31.969347,35.880972,914193.86,1019.7,893631.39,Fair Price
Sahab,Sahab Center,1847.52,agricultural,12.0,0,0,agricultural,3,high,0,1,flat,31.868423,36.003277,139648.36,91.33,168728.29,Underpriced
Tla Al Ali,Tla Al Ali East,1183.73,commercial,16.0,0,1,commercial_local,8,medium,0,1,flat,32.011186,35.862735,661970.85,676.98,801356.15,Underpriced
Deir Ghbar,Deir Ghbar Heights,1694.41,agricultural,14.0,1,0,agricultural,3,prime,0,1,flat,31.935537,35.85101,396416.06,212.17,359508.98,Overpriced
Sahab,Sahab Industrial Edge,1113.89,residential,12.0,1,1,C,6,high,0,1,steep,31.867853,35.99505,137713.29,129.08,143775.12,Fair Price
Naour,Naour Center,1597.64,agricultural,10.0,0,1,agricultural,3,low,0,1,moderate,31.871343,35.753484,125958.55,75.15,120061.23,Fair Price
Abdoun,North Abdoun,638.37,residential,8.0,0,1,A,9,high,0,1,flat,31.944462,35.876768,992380.88,1463.86,934488.45,Fair Price
Deir Ghbar,Deir Ghbar Heights,1930.79,agricultural,16.0,0,0,agricultural,3,low,1,0,flat,31.930674,35.845099,245576.3,123.27,238005.35,Fair Price
Abdoun,North Abdoun,585.01,residential,8.0,0,0,C,6,prime,0,0,steep,31.947689,35.88764,415330.99,697.89,408269.4,Fair Price
Al Jubeiha,Jubeiha University Side,3147.6,agricultural,10.0,0,0,agricultural,3,medium,0,0,steep,32.033751,35.876469,260989.96,91.14,286883.14,Fair Price
Naour,Naour Center,1179.97,commercial,8.0,0,1,commercial_local,8,medium,0,0,flat,31.872004,35.759039,398165.06,367.13,433204.4,Fair Price
Tla Al Ali,Tla Al Ali West,675.37,residential,10.0,0,1,B,8,medium,0,1,flat,32.002553,35.864496,356145.63,572.0,386313.66,Fair Price
Tabarbour,Tabarbour Main,850.88,residential,8.0,0,0,B,8,high,0,1,flat,31.996416,35.923666,225335.79,236.08,200871.27,Overpriced
Sahab,Sahab Industrial Edge,678.12,residential,16.0,0,1,C,6,medium,0,1,flat,31.869857,36.011976,129718.61,183.67,124550.38,Fair Price
Sweileh,Sweileh North,800.0,agricultural,8.0,0,0,agricultural,3,high,0,1,moderate,32.02486,35.85814,96426.89,126.37,101097.78,Fair Price
Tla Al Ali,Tla Al Ali East,382.03,residential,12.0,0,1,D,5,medium,0,1,flat,31.999465,35.872379,145094.87,437.76,167238.77,Underpriced
Al Jubeiha,Jubeiha North,480.43,residential,20.0,1,1,C,6,medium,0,0,flat,32.032253,35.864824,209309.82,462.0,221957.84,Fair Price
Sahab,Sahab Industrial Edge,1156.51,commercial,20.0,0,1,commercial_general,10,prime,0,1,flat,31.864896,36.008771,502153.47,412.49,477051.91,Fair Price
Khalda,Khalda Circle,743.79,residential,10.0,0,1,C,6,medium,0,1,flat,32.025374,35.85078,487886.42,625.36,465140.03,Fair Price
Marj Al Hamam,Marj Center,511.89,residential,12.0,0,0,C,6,medium,0,0,flat,31.888303,35.792929,149223.22,277.09,141840.94,Fair Price
Marka,Marka North,1011.92,commercial,6.0,1,1,commercial_local,8,high,0,1,flat,31.993542,35.95116,536511.55,403.84,408659.63,Overpriced
Marka,Marka North,430.93,residential,16.0,0,0,C,6,medium,0,0,flat,31.99782,35.950169,92442.96,204.54,88142.51,Fair Price
Jabal Amman,1st Circle,993.39,residential,20.0,0,1,B,8,high,0,0,flat,31.951647,35.910706,1667774.65,1485.0,1475178.97,Overpriced
Tabarbour,Tabarbour Main,1025.45,residential,24.0,1,1,B,8,medium,0,1,steep,32.000922,35.929622,428834.64,332.33,340788.42,Overpriced
Al Jubeiha,Jubeiha University Side,678.19,commercial,14.0,1,1,commercial_local,8,high,0,1,flat,32.031332,35.862316,511470.59,668.41,453307.13,Overpriced
Marka,Marka North,818.65,commercial,16.0,1,1,commercial_local,8,low,0,1,steep,31.994746,35.951408,173784.74,251.19,205637.8,Underpriced
Khalda,Khalda North,565.45,residential,8.0,1,1,D,5,medium,0,0,moderate,32.020342,35.847227,223872.53,369.67,209026.73,Fair Price
Abdoun,North Abdoun,933.75,residential,30.0,0,1,B,8,prime,1,1,moderate,31.944953,35.880823,1613912.96,1540.0,1437976.06,Overpriced
Jabal Amman,4th Circle,941.27,residential,16.0,0,1,C,6,prime,1,1,flat,31.951649,35.915641,1528371.07,1485.0,1397786.6,Fair Price
Tla Al Ali,Tla Al Ali East,516.13,residential,10.0,0,1,B,8,high,0,1,steep,32.012192,35.872828,230258.57,400.97,206951.33,Overpriced
Sweileh,Sweileh North,812.61,residential,8.0,1,1,D,5,high,0,1,flat,32.028749,35.863347,439654.54,465.73,378462.33,Overpriced
Abdoun,North Abdoun,639.64,residential,12.0,0,1,A,9,prime,0,1,flat,31.940601,35.877512,1036783.06,1540.0,985043.19,Fair Price
Shmeisani,West Shmeisani,976.51,commercial,20.0,1,1,commercial_local,8,high,1,1,flat,31.957507,35.89005,2123288.37,1725.0,1684482.71,Overpriced
Al Jubeiha,Jubeiha University Side,1125.63,commercial,12.0,0,0,commercial_general,10,high,0,0,steep,32.026251,35.870885,905316.22,707.72,796634.96,Overpriced
Jabal Amman,4th Circle,799.05,residential,12.0,0,0,C,6,high,0,1,flat,31.949656,35.911412,872618.34,903.58,722011.15,Overpriced
Tabarbour,Tabarbour Main,900.67,residential,30.0,0,1,D,5,medium,0,1,flat,31.993394,35.92891,270430.26,319.1,287402.68,Fair Price
Khalda,Khalda Circle,939.28,residential,20.0,0,1,D,5,high,1,1,steep,32.031571,35.849596,539857.47,634.04,595546.83,Fair Price
Abdoun,South Abdoun,1059.79,commercial,12.0,1,1,commercial_local,8,high,0,0,flat,31.9436,35.870055,2035344.51,2104.26,2230068.78,Fair Price
Sweileh,Sweileh Center,766.43,residential,14.0,0,0,B,8,medium,1,0,moderate,32.027477,35.85165,268318.87,325.59,249539.17,Fair Price
Sahab,Sahab Industrial Edge,791.73,commercial,10.0,0,1,commercial_local,8,medium,0,1,moderate,31.86438,35.993834,239322.32,298.1,236016.05,Fair Price
Um Uthaina,Um Uthaina North,1330.11,commercial,20.0,1,0,commercial_local,8,prime,0,1,steep,31.963926,35.87609,1342199.37,1058.39,1407778.63,Fair Price
Jabal Amman,1st Circle,1041.42,commercial,24.0,1,0,commercial_local,8,prime,0,1,moderate,31.947281,35.910758,1568275.28,1938.6,2018897.94,Underpriced
Tabarbour,Tabarbour Main,602.07,commercial,8.0,1,1,commercial_general,10,medium,1,1,steep,31.99478,35.921043,351286.24,578.01,347998.32,Fair Price
Abdoun,North Abdoun,1303.61,residential,6.0,1,1,B,8,low,0,1,steep,31.942725,35.868571,1441051.57,1086.99,1417009.95,Fair Price
Marka,Marka North,481.03,residential,16.0,1,1,D,5,medium,0,0,flat,31.995132,35.948162,93932.77,187.69,90286.53,Fair Price
Tla Al Ali,Tla Al Ali East,753.7,residential,16.0,0,1,B,8,high,0,0,flat,32.001333,35.861953,423083.85,572.0,431117.66,Fair Price
Tla Al Ali,Tla Al Ali West,440.74,residential,10.0,1,1,B,8,medium,0,1,flat,32.015882,35.866735,259311.44,481.66,212287.38,Overpriced
Shmeisani,Central Shmeisani,918.78,residential,14.0,1,1,B,8,high,0,1,flat,31.972417,35.879662,883602.38,933.96,858099.62,Fair Price
Al Jubeiha,Jubeiha North,405.13,residential,12.0,0,1,D,5,high,0,1,flat,32.044702,35.870168,127914.86,300.27,121650.2,Fair Price
Naour,Naour Center,670.82,residential,12.0,1,1,B,8,low,1,1,moderate,31.865396,35.764938,111307.77,178.69,119869.16,Fair Price
Sweileh,Sweileh North,755.38,residential,20.0,1,1,B,8,medium,0,1,moderate,32.026921,35.854284,257184.33,407.67,307944.61,Underpriced
Sweileh,Sweileh North,966.77,residential,6.0,0,1,A,9,medium,1,1,flat,32.022158,35.860658,544074.68,473.0,457282.83,Overpriced
Jabal Amman,4th Circle,573.27,commercial,20.0,1,1,commercial_general,10,prime,0,1,moderate,31.948514,35.914092,1164908.47,2115.79,1212914.3,Fair Price
Deir Ghbar,Deir Ghbar South,761.07,commercial,14.0,1,1,commercial_local,8,prime,0,1,steep,31.939756,35.853714,981870.09,1423.88,1083666.89,Fair Price
Sahab,Sahab Center,631.88,residential,8.0,0,1,C,6,high,0,1,flat,31.875972,36.000308,92954.82,162.78,102858.15,Fair Price
Abdoun,South Abdoun,3454.53,agricultural,24.0,0,1,agricultural,3,prime,0,0,flat,31.948448,35.890544,1566109.3,352.0,1215995.71,Overpriced
Shmeisani,West Shmeisani,786.71,commercial,20.0,1,0,commercial_local,8,prime,1,0,flat,31.969365,35.899064,934475.87,1298.57,1021596.19,Fair Price
Tabarbour,Tabarbour Main,617.04,residential,12.0,1,1,C,6,medium,0,1,flat,31.990043,35.933121,188439.41,275.92,170252.09,Overpriced
Dabouq,Dabouq Villas,2310.73,agricultural,12.0,0,1,agricultural,3,high,1,1,flat,31.995708,35.829307,550032.38,231.46,534839.84,Fair Price
Dabouq,Airport Road West,699.26,commercial,14.0,1,0,commercial_local,8,prime,1,1,moderate,32.002635,35.836569,1495475.13,1650.19,1153918.57,Overpriced
Shmeisani,Central Shmeisani,3877.19,agricultural,10.0,1,0,agricultural,3,prime,0,1,flat,31.964334,35.893654,666603.29,166.79,646677.88,Fair Price
Dabouq,Airport Road West,1207.57,residential,8.0,0,0,C,6,medium,1,1,moderate,31.990653,35.835687,1185305.24,930.22,1123306.25,Fair Price
Jabal Amman,4th Circle,827.69,residential,8.0,0,0,C,6,medium,1,1,steep,31.957908,35.928545,467462.27,625.49,517706.59,Fair Price
Khalda,Khalda North,976.46,residential,14.0,0,1,C,6,high,0,1,flat,32.031908,35.850823,624414.48,577.02,563432.06,Overpriced
Al Jubeiha,Jubeiha North,672.76,residential,20.0,0,0,C,6,high,1,1,moderate,32.030731,35.859812,227255.01,333.8,224564.21,Fair Price
Naour,Naour Center,5102.93,agricultural,14.0,0,1,agricultural,3,prime,0,1,moderate,31.880703,35.759629,343325.69,67.49,344380.14,Fair Price
Abdoun,North Abdoun,873.69,residential,10.0,0,1,A,9,prime,0,1,flat,31.941189,35.87887,1110568.89,1393.22,1217239.68,Fair Price
Abdoun,North Abdoun,1083.7,residential,10.0,0,1,B,8,high,0,1,flat,31.944441,35.879568,800188.22,994.27,1077496.3,Underpriced
Khalda,Khalda Circle,969.68,residential,14.0,0,0,B,8,medium,0,1,steep,32.033358,35.852147,254223.89,267.34,259236.45,Fair Price
Sweileh,Sweileh Center,878.43,residential,10.0,0,1,B,8,prime,0,1,flat,32.024183,35.854273,364670.28,473.0,415495.75,Underpriced
Abdoun,South Abdoun,971.78,residential,6.0,1,1,A,9,medium,0,1,flat,31.948366,35.874029,1069851.17,1217.87,1183504.16,Fair Price
Sweileh,Sweileh Center,738.09,residential,14.0,0,1,B,8,prime,1,0,moderate,32.027996,35.85035,216117.09,385.59,284601.46,Underpriced
Sahab,Sahab Industrial Edge,3405.72,agricultural,8.0,0,0,agricultural,3,medium,0,1,moderate,31.86381,36.000257,204981.27,58.64,199718.38,Fair Price
Marj Al Hamam,Marj Hills,743.59,residential,16.0,0,1,B,8,medium,1,0,moderate,31.893547,35.789004,237340.12,352.0,261743.84,Fair Price
Tabarbour,Inner Neighborhood,625.19,commercial,16.0,1,1,commercial_general,10,medium,0,1,flat,31.991399,35.927727,370150.03,562.82,351867.68,Fair Price
Shmeisani,Central Shmeisani,1273.92,commercial,10.0,0,0,commercial_local,8,prime,0,1,steep,31.967136,35.891982,1342930.74,1004.24,1279320.67,Fair Price
Marj Al Hamam,Marj Center,3835.84,agricultural,20.0,0,0,agricultural,3,medium,0,1,moderate,31.885478,35.804575,453412.3,106.45,408313.54,Overpriced
Khalda,Khalda Circle,798.77,commercial,16.0,0,1,commercial_local,8,high,0,1,flat,32.033528,35.844848,718111.77,827.28,660800.47,Fair Price
Um Uthaina,Um Uthaina South,475.28,residential,20.0,0,1,D,5,prime,0,1,steep,31.972282,35.87959,536609.87,1002.94,476682.77,Overpriced
Sweileh,Sweileh North,948.68,residential,10.0,1,0,C,6,high,1,1,moderate,32.026777,35.86495,477919.34,440.83,418203.79,Overpriced
Naour,Naour Center,732.73,residential,20.0,0,1,B,8,high,1,1,flat,31.869033,35.771435,132036.39,153.18,112241.74,Overpriced
Tla Al Ali,Tla Al Ali West,1062.34,residential,20.0,1,1,A,9,high,0,0,flat,32.011628,35.868212,660512.67,542.97,576817.59,Overpriced
Marj Al Hamam,Marj Center,250.0,residential,20.0,0,1,C,6,high,0,1,flat,31.88192,35.799167,91576.75,333.26,83314.87,Fair Price
Sweileh,Sweileh North,619.72,residential,10.0,0,1,B,8,low,0,1,flat,32.019089,35.857834,208594.18,398.85,247177.11,Underpriced
Tabarbour,Inner Neighborhood,788.71,residential,10.0,1,0,D,5,high,0,1,flat,31.996949,35.926862,220637.26,280.93,221575.44,Fair Price
Sahab,Sahab Center,1000.16,commercial,30.0,1,0,commercial_general,10,high,0,0,flat,31.860371,36.007471,234519.71,241.64,241675.7,Fair Price
Jabal Amman,1st Circle,733.02,residential,10.0,0,1,B,8,high,0,0,steep,31.949219,35.920171,873217.58,994.76,729177.71,Overpriced
Al Jubeiha,Jubeiha University Side,695.7,commercial,20.0,1,1,commercial_general,10,medium,1,1,moderate,32.034963,35.867744,409430.01,618.7,430431.36,Fair Price
Shmeisani,Central Shmeisani,730.28,residential,16.0,0,1,C,6,high,0,1,moderate,31.969177,35.890426,702555.63,866.25,632604.42,Overpriced
Dabouq,Airport Road West,683.34,residential,10.0,0,1,D,5,prime,0,0,moderate,31.989705,35.822545,506059.48,746.92,510398.49,Fair Price
Shmeisani,West Shmeisani,4010.12,agricultural,8.0,1,1,agricultural,3,high,0,1,flat,31.962392,35.89017,726178.75,194.52,780042.68,Fair Price
Marka,Marka North,1061.5,residential,20.0,0,1,B,8,low,0,1,flat,31.990602,35.95027,247607.55,210.35,223290.59,Overpriced
Khalda,Khalda Circle,679.62,residential,8.0,1,1,B,8,medium,0,1,flat,32.019413,35.841172,372682.32,452.32,307404.93,Overpriced
Tla Al Ali,Tla Al Ali East,772.23,residential,24.0,1,1,C,6,high,0,1,steep,32.012123,35.871069,328675.4,510.61,394310.06,Underpriced
Sweileh,Sweileh North,1041.78,commercial,20.0,0,1,commercial_general,10,low,0,0,moderate,32.022537,35.853911,596546.9,508.46,529698.63,Overpriced
Sweileh,Sweileh North,868.37,commercial,24.0,0,1,commercial_local,8,high,0,1,moderate,32.020595,35.865424,843054.92,897.0,778929.18,Fair Price
Dabouq,Dabouq Villas,662.38,residential,20.0,0,1,A,9,high,0,1,flat,31.992104,35.845093,699912.26,1279.34,847414.81,Underpriced
Marj Al Hamam,Marj Hills,635.94,residential,14.0,0,0,C,6,low,0,1,flat,31.885675,35.795134,175832.31,276.59,175895.93,Fair Price
Abdoun,South Abdoun,631.06,residential,8.0,0,1,A,9,high,0,1,flat,31.949164,35.882843,747245.96,1139.16,718878.27,Fair Price
Tabarbour,Inner Neighborhood,567.9,residential,16.0,0,0,C,6,medium,1,1,flat,31.993654,35.93975,147882.66,289.8,164579.35,Underpriced
